SYSTEM,CET,BENCH0,BENCH1,BENCH2,BENCH3,BENCH4,BENCH5
TGL,1,1210896,57819,5580343,661815,858348,4793119
SPR,1,1660228,85582,8539671,1025052,1224791,6413201
TGL,1,1237685,71894,5528495,659067,863280,4681863
SPR,1,1880313,87634,8514871,960602,1125376,6315762
TGL,1,1229285,83673,5554384,667720,873206,4627126
SPR,1,1682726,73104,8117465,873164,1086650,5865031
TGL,1,1330666,57140,5621906,662937,827117,4649290
SPR,1,1505235,69533,7851069,900958,1150202,5902823
TGL,1,1236224,59961,5536969,662547,841556,4679862
SPR,1,1574303,68109,7761452,888436,1069778,5684800
TGL,1,1237454,59546,5534194,670945,864397,4626411
SPR,1,1549144,66389,7750515,908328,1055499,5673483
TGL,1,1227707,59091,5538961,668004,876954,4614181
SPR,1,1464070,67461,7652507,887517,1011769,5691359
TGL,1,1241159,59835,5541722,671598,914123,4740275
SPR,1,1461243,65404,7638093,804542,1017518,5455747
TGL,1,1271249,57552,5604392,665987,830053,4657023
SPR,1,1456970,65862,7520801,875155,1006732,5532998
TGL,1,1232488,59527,5606495,670845,832391,4707155
SPR,1,1426497,67384,7519908,868221,1009633,5567538
TGL,1,1241997,59895,5586319,673090,824155,4696807
SPR,1,1437390,67494,7543105,892958,1018017,5548525
TGL,1,1240273,59923,5618737,670959,830046,4693083
SPR,1,1426660,67584,7852242,897421,1037971,5719891
TGL,1,1236759,60318,5613245,801000,885051,4702019
SPR,1,1476211,67456,7581229,772716,1015368,5468417
TGL,1,1409829,58873,5547950,661176,800017,4639822
SPR,1,1432134,67070,7584590,904438,1046083,5592100
TGL,1,1283783,59326,5557389,670850,819685,4828905
SPR,1,1461498,68126,7635522,778654,1018248,5685154
TGL,1,1281712,58906,5538190,664509,831294,4643150
SPR,1,1452519,65839,7568079,787638,1114569,5534978
TGL,1,1240244,68049,5545938,670661,875236,4642615
SPR,1,1441036,67268,7501307,779051,1006297,5612223
TGL,1,1232100,59383,5540649,672688,865538,4604153
SPR,1,1534698,67530,7589915,791203,1148813,5528797
TGL,1,1237842,61170,5549536,670964,871326,4610841
SPR,1,1547875,67035,7462525,787212,1036127,5800713
TGL,1,1225256,58676,5709961,632069,852820,4689098
SPR,1,1457720,67486,7969907,794700,1101487,5790483
TGL,1,1243112,59012,5528077,666765,890574,4650947
SPR,1,1484638,67241,7443506,790252,1057234,5627557
TGL,1,1316764,57914,5604617,657390,826510,4671507
SPR,1,1487484,65961,7526777,868949,1007925,5598753
TGL,1,1234324,58280,5643172,666545,823197,4701775
SPR,1,1443050,67619,7537725,883323,1007684,5556607
TGL,1,1298856,58618,5602851,654813,818931,4801366
