Test,Elapsed_time,OAP
ALS_5GB,204.687,1
ALS_5GB,703.51,0
KMEANS_250GB,685.519,1
KMEANS_250GB,1261.329,0
PCA_30GB,463.304,1
PCA_30GB,954.089,0

ALS_5GB,189.367,1
ALS_5GB,1006.689,0
KMEANS_250GB,672.823,1
KMEANS_250GB,1270.339,0
PCA_30GB,454.146,1
PCA_30GB,932.424,0

ALS_5GB,197.135,1
ALS_5GB,759.658,0
KMEANS_250GB,597.557,1
KMEANS_250GB,1266.655,0
PCA_30GB,436.058,1
PCA_30GB,950.493,0

ALS_5GB,184.491,1
ALS_5GB,708.955,0
KMEANS_250GB,727.644,1
KMEANS_250GB,1229.457,0
PCA_30GB,368.301,1
PCA_30GB,959.521,0

ALS_5GB,188.377,1
ALS_5GB,802.362,0
KMEANS_250GB,852.635,1
KMEANS_250GB,1187.508,0
PCA_30GB,422.091,1
PCA_30GB,944.219,0
